n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
1000,2,Naive,,,,,,1645.4142869997895,2603
1000,2,Max_Prob,0.0005958080291748047,0.0001919269561767578,0.12253212928771973,0.00032806396484375,734.0303118285966,734.1539597568345,1005
1000,4,Naive,,,,,,37134.54095783299,64620
1000,4,Max_Prob,0.0007739067077636719,0.013650655746459961,4.123412847518921,0.07373929023742676,958.2032669043288,962.4148436045393,1398
1000,6,Naive,,,,,,47562.91535415284,82795
1000,6,Max_Prob,0.0008559226989746094,0.11983323097229004,106.86136245727539,2.02826189994812,1923.0287037840014,2032.0390172948962,3085
1000,8,Naive,,,,,,56276.02009550834,97982
1000,8,Max_Prob,0.0008928775787353516,0.262160062789917,233.72016310691833,9.158236742019653,3046.6237610594344,3289.765213848741,5063
1000,10,Naive,,,,,,57700.97673509663,100432
1000,10,Max_Prob,0.001172780990600586,0.45154905319213867,458.7564969062805,31.828438997268677,4673.162610438329,5164.2002681760605,7908
1000,2,Greedy,0,0.0018193721771240234,0,0.000904083251953125,586.7639999999997,586.7667234554287,1024
1000,4,Greedy,0,0.028645753860473633,0,0.10541176795959473,2530.849673,2530.983731,4415
1000,6,Greedy,0,0.1868429183959961,0,0.12304878234863281,4737.534633,4737.844525,8277
1000,8,Greedy,0,0.31151604652404785,0,0.2691187858581543,7051.409014,7051.989648,12315
1000,10,Greedy,0,0.6211836338043213,0,0.4730055332183838,9681.300881,9682.39507,16952
