n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
1000,2,Naive,,,,,,1442.950162111893,2525
1000,2,Max_Prob,0.0004935264587402344,0.0003809928894042969,0.9735369682312012,0.0006163120269775391,578.662350664572,579.6373784641784,1011
1000,4,Naive,,,,,,38402.99108293291,62837
1000,4,Max_Prob,0.7932019233703613,0.22394919395446777,230.75426244735718,4.274291038513184,931.3213604813792,1167.3670650845743,1628
1000,6,Naive,,,,,,54854.857729070696,83227
1000,6,Max_Prob,0.20813608169555664,3.537404775619507,2104.3827419281006,51.2038996219635,1734.0500652978099,3893.382247705189,3017
1000,8,Naive,,,,,,58109.22112139497,89193
1000,8,Max_Prob,0.20141053199768066,6.947730779647827,3178.536864042282,138.33966040611267,2662.126242339452,5986.151908099492,4651
1000,10,Naive,,,,,,70580.61728919088,104710
1000,10,Max_Prob,0.19873809814453125,11.747052431106567,8406.211385011673,668.3359606266022,6110.359543994683,15196.85268016221,10703
1000,2,Greedy,0,0.00646519660949707,0,0.0029735565185546875,604.0518999999999,604.061338753128,1052
1000,4,Greedy,0,0.09754586219787598,0,0.07082843780517578,2796.745589,2796.913963,4871
1000,6,Greedy,0,0.19086790084838867,0,0.13935279846191406,4682.548563,4682.878784,8162
1000,8,Greedy,0,0.27820587158203125,0,0.305894136428833,6475.331767,6475.915867,11282
1000,10,Greedy,0,0.5009970664978027,0,0.4742863178253174,12167.388704,12168.363987,21215
