n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
45,2,Max_Prob,8.416175842285156e-05,0.0015463829040527344,2.9772214889526367,0.0031023025512695312,42.37503169833467,45.356986034501055,72
101,2,Max_Prob,0.0009953975677490234,0.007597208023071289,62.58250164985657,0.0192873477935791,81.15068657618419,143.76106817942514,142
142,2,Max_Prob,0.0013587474822998047,0.017444849014282227,273.02286672592163,0.045823097229003906,132.02886824677552,405.11636166642273,231
173,2,Max_Prob,0.0018188953399658203,0.02167487144470215,484.7812707424164,0.058393001556396484,151.50484618318205,636.3680036939395,265
201,2,Max_Prob,0.0026123523712158203,0.031333208084106445,881.532726764679,0.08418941497802734,192.15209486077242,1073.8029566008847,337
45,2,Greedy,0,0.0010421276092529297,0,0.00024818,26.930100000000007,26.933362281417853,47
101,2,Greedy,0,0.011975765228271484,0,0.00154299,60.61289999999996,60.6495640090942,106
142,2,Greedy,0,0.10564255714416504,0,0.00366585,88.23779999999998,88.50441443710325,154
173,2,Greedy,0,0.02147817611694336,0,0.00467144,100.11429999999997,100.18418048553464,176
201,2,Greedy,0,0.04395866394042969,0,0.00673515,118.26110000000001,118.42506164894105,204
